id,publication_year,cited_by_count,author_ids
https://openalex.org/W4317614913,2023,14,"['A5032475019', 'A5051554812', 'A5005635678', 'A5059645286', 'A5044072805', 'A5090631705']"
https://openalex.org/W4323315197,2023,14,"['A5039696704', 'A5101981611', 'A5100765157', 'A5066924384', 'A5100392763', 'A5100933736', 'A5031198916', 'A5047898147', 'A5100738104']"
https://openalex.org/W4367047419,2023,13,"['A5075915146', 'A5045528962', 'A5024050018', 'A5069939742']"
https://openalex.org/W4320853676,2023,12,"['A5018406326', 'A5100659941', 'A5090252428']"
https://openalex.org/W2157581122,2002,94,"['A5059645286', 'A5043229598']"
https://openalex.org/W1982383218,2001,83,"['A5059645286', 'A5052035076', 'A5101774258', 'A5005013018', 'A5022676925', 'A5047474854']"
https://openalex.org/W2053352396,1986,78,"['A5059645286', 'A5057286641']"
https://openalex.org/W2154349446,2006,77,"['A5060610138', 'A5026663035', 'A5111570296', 'A5057286641', 'A5059645286']"
https://openalex.org/W2031726529,1989,75,"['A5077437989', 'A5011997611', 'A5059645286', 'A5047195042']"
https://openalex.org/W2105094250,2006,70,['A5059645286']
https://openalex.org/W2101928601,2010,64,"['A5020565946', 'A5059645286', 'A5003106951', 'A5038043305', 'A5072469346']"
https://openalex.org/W2001877879,2011,55,"['A5059645286', 'A5050637601', 'A5090631705']"
https://openalex.org/W1971505203,2013,54,"['A5080267104', 'A5017765466', 'A5052717630', 'A5109205244']"
https://openalex.org/W2132245264,2015,47,['A5059645286']
https://openalex.org/W1956260915,2013,46,"['A5060610138', 'A5023694433', 'A5058534097', 'A5113501513', 'A5059645286']"
https://openalex.org/W1853931020,2015,45,['A5064171835']
https://openalex.org/W2950350902,2014,45,"['A5002709735', 'A5030571651', 'A5100338939']"
https://openalex.org/W2180977419,2015,43,"['A5032500066', 'A5059645286', 'A5058584640', 'A5017234474', 'A5090631705']"
https://openalex.org/W2767954870,2017,42,['A5064171835']
https://openalex.org/W2305899127,2015,41,"['A5085927300', 'A5015534160', 'A5065980952', 'A5030571651', 'A5051544089']"
https://openalex.org/W2521480434,2016,39,"['A5002735772', 'A5063166187']"
https://openalex.org/W2476165036,2016,38,"['A5048054945', 'A5058534097', 'A5003218773', 'A5059645286', 'A5082048229']"
https://openalex.org/W3093603548,2020,38,"['A5073108885', 'A5045773507', 'A5081866789', 'A5028367744', 'A5005480813', 'A5033589837', 'A5069939742']"
https://openalex.org/W3006621427,2020,37,"['A5090252428', 'A5038706435']"
https://openalex.org/W3016700859,2020,37,"['A5054311085', 'A5024802973', 'A5030569394', 'A5026814365', 'A5075621078']"
https://openalex.org/W3008222255,2020,35,"['A5019840180', 'A5090275845', 'A5030571651']"
